number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
84,0.7771470391900792,2026-04-09 21:34:01.772823,2026-04-09 21:36:52.389840,0 days 00:02:50.617017,0.17537540422764075,7,732,6.565174683026511,0.052572057820198526,PRUNED
85,0.7772313014913248,2026-04-09 21:36:52.389840,2026-04-09 21:40:02.780662,0 days 00:03:10.390822,1.457371769852964,7,702,7.9461217620890245,0.04461787804932928,PRUNED
86,0.7739892179148681,2026-04-09 21:40:02.780662,2026-04-09 21:46:55.238953,0 days 00:06:52.458291,0.24880304116642885,7,752,7.424954876658549,0.021697943290794962,COMPLETE
87,0.7738925214566,2026-04-09 21:46:55.242417,2026-04-09 21:53:46.986875,0 days 00:06:51.744458,0.16932744841416808,7,756,7.482351814961626,0.022525417949768662,COMPLETE
88,0.7773496962908001,2026-04-09 21:53:46.987385,2026-04-09 21:58:49.509291,0 days 00:05:02.521906,0.219916551306932,7,738,8.73021025438121,0.021710971871620105,PRUNED
89,0.7771742051200958,2026-04-09 21:58:49.513227,2026-04-09 22:03:41.041956,0 days 00:04:51.528729,0.023886905292112404,7,718,8.372340909500487,0.01883567407865546,PRUNED
90,0.7766929958712947,2026-04-09 22:03:41.043970,2026-04-09 22:05:55.515139,0 days 00:02:14.471169,0.2565401502086204,7,785,8.999777759691726,0.06492408558447199,PRUNED
91,0.7739851387250147,2026-04-09 22:05:55.517146,2026-04-09 22:11:29.229889,0 days 00:05:33.712743,1.6009294053318068,7,771,7.272717036509619,0.03280064351233655,COMPLETE
92,0.7768732788614048,2026-04-09 22:11:29.229889,2026-04-09 22:14:40.727775,0 days 00:03:11.497886,1.6285674399636298,7,766,7.679844997527323,0.03383180132595554,PRUNED
93,0.7773439829676623,2026-04-09 22:14:40.728775,2026-04-09 22:16:07.789208,0 days 00:01:27.060433,1.5820827473401156,7,463,6.829826337667727,0.0322415596137786,PRUNED
94,0.7767968309118058,2026-04-09 22:16:07.790208,2026-04-09 22:17:39.151959,0 days 00:01:31.361751,1.7972793494486128,7,492,7.326273366467064,0.02921184801367372,PRUNED
95,0.7765499047718043,2026-04-09 22:17:39.153967,2026-04-09 22:20:37.866477,0 days 00:02:58.712510,1.8991333007983484,7,533,7.061920000412829,0.026069422107451237,PRUNED
96,0.7770207563186589,2026-04-09 22:20:37.868438,2026-04-09 22:24:08.157429,0 days 00:03:30.288991,1.729484875227935,7,745,8.015221894941513,0.04011590646872234,PRUNED
97,0.7771956945871239,2026-04-09 22:24:08.173320,2026-04-09 22:27:28.919678,0 days 00:03:20.746358,0.061552872150326315,7,775,6.710788786923045,0.03634008153544368,PRUNED
98,0.7771588344378477,2026-04-09 22:27:28.919678,2026-04-09 22:30:56.378328,0 days 00:03:27.458650,0.3182075216114384,7,514,7.523457985474229,0.02413390796630067,PRUNED
99,0.7736387270421168,2026-04-09 22:30:56.380341,2026-04-09 22:35:36.151335,0 days 00:04:39.770994,0.15687824856563415,7,726,6.392780801559402,0.007432574535375894,PRUNED
