number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.7501939057908968,2026-04-11 21:00:40.600268,2026-04-11 21:00:54.338180,0 days 00:00:13.737912,0.8451235367845726,0.010181283131439643,7,191,1464,248,1.990632676927382e-06,4.32747580263185e-05,0.7728591400411078,PRUNED
11,0.7548908764084347,2026-04-11 21:00:54.341932,2026-04-11 21:01:01.871334,0 days 00:00:07.529402,0.6712579968688783,0.01595150537764663,3,186,1435,234,8.593323877504324e-07,0.0029151336209232823,0.7092420316039709,COMPLETE
12,0.7564161283800522,2026-04-11 21:01:01.871334,2026-04-11 21:01:10.083795,0 days 00:00:08.212461,0.6448134750292263,0.04722159118758402,6,12,665,209,0.0007187551363036988,0.0024710325668257605,0.8005534578760697,COMPLETE
13,0.7567962182014067,2026-04-11 21:01:10.084795,2026-04-11 21:01:17.893215,0 days 00:00:07.808420,0.6123366282341044,0.0584448042822417,6,10,674,210,0.004292853293515138,0.0005505172395836486,0.8046532123773311,COMPLETE
14,0.748831545670991,2026-04-11 21:01:17.895220,2026-04-11 21:01:25.272457,0 days 00:00:07.377237,0.6061144325936357,0.07512361891070589,8,155,543,218,0.018085859182803164,2.7512505117494534e-05,0.9983774235213664,PRUNED
15,0.7508987826367393,2026-04-11 21:01:25.274464,2026-04-11 21:01:28.102379,0 days 00:00:02.827915,0.7648861929188862,0.08492665786823324,5,84,724,201,1.0055277625452995e-06,1.2319462809318151e-08,0.8262326939120918,PRUNED
16,0.7495369667367096,2026-04-11 21:01:28.103379,2026-04-11 21:01:36.525405,0 days 00:00:08.422026,0.7404548689011644,0.03773284544305368,8,162,1308,189,0.29186835251724164,6.738672532809253e-07,0.7176988678845329,PRUNED
17,0.7570356330485793,2026-04-11 21:01:36.527412,2026-04-11 21:01:45.679329,0 days 00:00:09.151917,0.5915394636106673,0.03702917556373974,5,62,816,78,0.0011524872100222812,0.0010021652841222118,0.8571974585889052,COMPLETE
18,0.7568278877426063,2026-04-11 21:01:45.681335,2026-04-11 21:01:56.832828,0 days 00:00:11.151493,0.5166086233221996,0.01633922974299674,5,78,820,77,0.00043697483105703473,6.719735068944553e-05,0.8863796302709988,COMPLETE
19,0.7546138051211755,2026-04-11 21:01:56.834835,2026-04-11 21:02:01.411728,0 days 00:00:04.576893,0.5929976680143253,0.03615581608890234,3,67,1311,48,2.3651125563418518e-07,3.5462019589627556e-06,0.9831237376918905,PRUNED
20,0.7567917493533504,2026-04-11 21:02:01.413476,2026-04-11 21:02:21.003196,0 days 00:00:19.589720,0.7119504403900979,0.010067124986925762,7,143,578,63,7.5005301500917454e-06,0.008225723319543129,0.5075106058128437,COMPLETE
21,0.7566960920203604,2026-04-11 21:02:21.003196,2026-04-11 21:02:31.370185,0 days 00:00:10.366989,0.5135678891116691,0.01631216454734748,5,66,809,85,0.0004524740056529746,8.969067883354273e-05,0.8814236100249656,COMPLETE
22,0.7510346105590746,2026-04-11 21:02:31.372192,2026-04-11 21:02:38.884748,0 days 00:00:07.512556,0.559699776038798,0.018238495522759673,4,95,823,73,0.00015446158777906302,5.665522894284532e-06,0.9228320514876031,PRUNED
23,0.7562764790658131,2026-04-11 21:02:38.886754,2026-04-11 21:02:49.594042,0 days 00:00:10.707288,0.6280173156878633,0.012738578946952564,5,51,794,133,0.003071737902659146,0.00033714761656287686,0.8464317223403334,COMPLETE
24,0.7570528385430654,2026-04-11 21:02:49.596049,2026-04-11 21:03:03.004515,0 days 00:00:13.408466,0.5123083316063839,0.020630248666778053,6,174,1022,154,6.061578347086264e-05,3.362093084396303e-07,0.9449883755089078,COMPLETE
25,0.7569874401797471,2026-04-11 21:03:03.006522,2026-04-11 21:03:20.064781,0 days 00:00:17.058259,0.5004777438723695,0.03203997612137067,8,179,1010,154,9.058047108116763e-08,1.4178383324609216e-07,0.9456216574975073,COMPLETE
26,0.7568737298795646,2026-04-11 21:03:20.064781,2026-04-11 21:03:31.608765,0 days 00:00:11.543984,0.5725563136933619,0.02086407831769407,6,171,1294,157,4.216943923365881e-06,1.6902749588425184e-08,0.9536129977172025,COMPLETE
27,0.7520249008192903,2026-04-11 21:03:31.608765,2026-04-11 21:03:45.259984,0 days 00:00:13.651219,0.8191324531930125,0.012705399902525475,7,138,1236,195,4.5149888688035905e-05,2.1032906735141402e-07,0.7477122210167974,PRUNED
28,0.7504463947057891,2026-04-11 21:03:45.261990,2026-04-11 21:03:50.527876,0 days 00:00:05.265886,0.9188709781447775,0.029677912232698504,6,170,1385,132,1.772273851093736e-07,1.0664423553439837e-05,0.8565122554129694,PRUNED
29,0.7499011835053193,2026-04-11 21:03:50.529882,2026-04-11 21:03:58.796586,0 days 00:00:08.266704,0.5750605036487337,0.04659947051289603,8,197,1070,108,0.03414724786236005,7.580367432493714e-07,0.6387337087410516,PRUNED
30,0.7520405914574613,2026-04-11 21:03:58.796586,2026-04-11 21:04:11.807517,0 days 00:00:13.010931,0.5545604154461031,0.019701832684747886,7,133,1207,178,1.0710274117313283e-08,0.03416644572674516,0.9558460102215038,PRUNED
31,0.7518990779960089,2026-04-11 21:04:11.807517,2026-04-11 21:04:22.226480,0 days 00:00:10.418963,0.5082203346404595,0.03312166754650264,8,178,992,150,1.2905617731559878e-07,5.449526099556071e-08,0.9223223081688411,PRUNED
32,0.7572291969344604,2026-04-11 21:04:22.228486,2026-04-11 21:04:33.347916,0 days 00:00:11.119430,0.506620642875564,0.04290209831606491,7,161,896,121,5.4999003326199825e-08,7.694338503884879e-07,0.9559225801721637,COMPLETE
